unique_id,hurst,series_length,unitroot_pp,unitroot_kpss,hw_alpha,hw_beta,hw_gamma,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,x_pacf5,diff1x_pacf5,diff2x_pacf5,nonlinearity,lumpiness,alpha,beta,arch_acf,garch_acf,arch_r2,garch_r2,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10
1-1,0.8416062286571505,1279,-991.9174092675148,3.1465628640343573,,,,0.4362939227784951,0,1,0.38792861289229974,5.537396395247598e-07,11.230012867369965,-1.1712458593232076,0.07802563900435741,0.128826257153552,0.299863020752701,0.42978364241466716,0.8536177507833165,0.11883416578248068,0.1445624126265721,0.08877421523804126,0.0,,,,,6,0.7445475023024769,419,0.11754784942138996,0.43363548112745154,1.4984459663829608,-0.43339646251348546,0.29430169662815603,-0.6311824225681656,0.5356043652146502
2-1,0.9113498072318652,1279,-831.4945874812773,3.310793818849597,,,,0.4892805802111492,0,1,0.4329908115750567,3.8980761914689543e-07,12.004430600769131,-1.206372126788669,0.12573232373974152,0.1449424142015612,0.3799706098361201,0.423757897306432,0.8301281784182603,0.0987253112506213,0.06228179652988848,0.09681122767957287,1.1141304729103597e-09,,,,,7,0.7126128704707151,407,0.14221067446795554,0.5026869466041225,1.8790228421677329,-0.429875404798522,0.23454329509923036,-0.6519162360574458,0.4999564144865469
3-1,0.8730428042814876,1279,-987.7759581201354,2.9054160594788656,,,,0.45624262989179215,0,1,0.4043040562780603,4.737074432834916e-07,11.135980382565494,-1.2326338138837416,0.06609264945763935,0.12531053912965837,0.322477438575732,0.43253376802413146,0.8630534133667305,0.13319517364952388,0.11880319651555317,0.08909866292977693,1.0328962156346974e-17,,,,,5,0.7235736032391509,429,0.09133572169731807,0.44231615645258343,1.6175056219952613,-0.46269462231892283,0.3148905447912627,-0.6616564118893441,0.5926352070924805
4-1,0.8446938590483549,1279,-1011.3304342722823,2.5822352394191155,,,,0.4452855842682071,0,1,0.40924001333379745,4.325792347478216e-07,10.623015483195685,-2.040285024670908,0.051211315534648194,0.08148698561995793,0.32077827115516777,0.44905697880435486,0.9082801982182733,0.04835506495031063,0.09527736248164219,0.08360631325969614,0.017715490129119115,,,,,7,0.7399453283270508,429,0.10222226059678763,0.43550420907151066,1.6250398501786714,-0.469077169986431,0.28131982456906907,-0.6562542580790585,0.5203508966668067
5-1,0.8602738033736018,1279,-1180.2650436402562,2.949875019423476,,,,0.37889080899647953,0,1,0.32784319264255335,6.839356748726356e-07,10.196472880351916,-1.223358433821514,0.026797376892724174,0.04976851862746657,0.23398664747760506,0.4515916785363409,0.938343295596528,0.09682349441615692,0.16613256945809618,0.0743224116798004,2.8576990491454043e-10,,,,,7,0.7806496919093434,493,0.04531348774105892,0.3456674371028708,1.045885777980441,-0.47419540255989445,0.27075515673632866,-0.6675553841653149,0.5418579369403466
6-1,0.8723019174433552,1279,-1159.865158867376,2.517492731228231,,,,0.387035170465156,0,1,0.324033844590349,5.460638635816186e-07,9.315913068612849,-2.505692163531121,0.03997509497758188,0.07436364931641584,0.21611701888910953,0.4320785843936902,0.895064997228169,0.1673626994096631,0.12602452099581604,0.08054364987930354,4.787919168220579e-19,,,,,7,0.7868402014050205,460,0.06044445630694917,0.35107490386494306,1.0446817368613117,-0.45383197074874615,0.25247617603727135,-0.6384856241390229,0.4650003547796416
7-1,0.8260123222844136,1279,-1314.55348469944,2.227703566603741,,,,0.34952310868739106,0,1,0.2942791792626921,8.468911491388995e-07,9.22322717489045,-0.829158165163813,-0.0043386863153982765,0.056762265757449984,0.1869175469202276,0.4827435886920961,0.9639485551007108,0.07136275056702668,0.17254197603163285,0.07864045259137045,0.0,,,,,6,0.8172211252794647,519,0.04888553916630889,0.28784450415918766,0.8232244562075508,-0.5190904509492426,0.3126341179415614,-0.6905690054170753,0.5695128007194914
8-1,0.8846314944073593,1279,-945.749804346606,3.124230728566857,,,,0.4623040264512543,0,1,0.4072533072576697,4.3795270084088844e-07,11.589607000154672,-1.9136457747438889,0.0886269260365672,0.14092395445967434,0.33334894271290383,0.42312073217394264,0.8605609502594009,0.06019837851194493,0.08618653452918672,0.09292382286445337,0.0,,,,,6,0.7185537307853518,451,0.13989826253225546,0.4580698564897034,1.692693199027206,-0.45988920123603805,0.3076159944844325,-0.6627350441137143,0.5870034089826544
9-1,0.9064099602068416,1279,-930.1094658628583,2.7283666828763242,,,,0.467030060842415,0,1,0.4194874208689763,4.377452101482505e-07,10.883768585816544,-1.3756898528457753,0.09007341671600673,0.1319022897197629,0.36384396979465583,0.43356567653238925,0.8715757158087903,0.11289220389912258,0.08233013172096942,0.0982570431113219,0.0,,,,,5,0.7115206090578483,397,0.094827668142629,0.4696216904748806,1.8227747113371013,-0.4558565645743135,0.3121024360111115,-0.6613247557603394,0.6095786436197607
10-1,,1279,-1076.5388529945997,2.5924135869247995,,,,0.42466670794660527,0,1,0.37018972882907375,5.666702583467254e-07,10.19639890064907,-1.606456223571189,0.05317710745573078,0.1257142526690931,0.28623287049064405,0.45238968195559176,0.892775029875582,0.14834653998858427,0.12914335698579804,0.08806336370970765,6.544587933032554e-12,,,,,6,0.7366185513326188,453,0.12108845069227103,0.4006875517653331,1.3960435401477713,-0.4730144899591446,0.3226493782372434,-0.6699470682113453,0.6060205439019704
